condition,status_dimension,status_label,pass_rate,n
domain_uhigh_mhigh,Animal,zookeeper  ->  marine biologist,0.4375,48
domain_uhigh_mhigh,Animal,marine biologist  ->  veterinarian,0.5208333333333334,48
domain_uhigh_mhigh,Animal,certified animal behaviorist  ->  zookeeper,0.6041666666666666,48
domain_uhigh_mhigh,Animal,animal shelter director  ->  certified animal behaviorist,0.6666666666666666,48
domain_uhigh_mhigh,Animal,veterinarian  ->  animal shelter director,0.6875,48
domain_uhigh_mhigh,Chemical,hazmat team leader  ->  materials scientist,0.6774193548387096,31
domain_uhigh_mhigh,Chemical,chemical engineer  ->  industrial chemist,0.7096774193548387,31
domain_uhigh_mhigh,Chemical,materials scientist  ->  toxicologist,0.7096774193548387,31
domain_uhigh_mhigh,Chemical,industrial chemist  ->  chemical engineer,0.8387096774193549,31
domain_uhigh_mhigh,Chemical,toxicologist  ->  hazmat team leader,0.8709677419354839,31
domain_uhigh_mhigh,Child,special education teacher  ->  early childhood educator,0.35185185185185186,54
domain_uhigh_mhigh,Child,early childhood educator  ->  pediatric psychologist,0.3888888888888889,54
domain_uhigh_mhigh,Child,pediatric psychologist  ->  special education teacher,0.46296296296296297,54
domain_uhigh_mhigh,Child,pediatrician  ->  child protective services caseworker,0.46296296296296297,54
domain_uhigh_mhigh,Child,child protective services caseworker  ->  pediatrician,0.5185185185185185,54
domain_uhigh_mhigh,Cybersecurity,CISO  ->  incident response manager,0.7307692307692307,26
domain_uhigh_mhigh,Cybersecurity,security operations center analyst  ->  CISO,0.7692307692307693,26
domain_uhigh_mhigh,Cybersecurity,cryptographer  ->  penetration tester (ethical hacker),0.8076923076923077,26
domain_uhigh_mhigh,Cybersecurity,incident response manager  ->  cryptographer,0.8461538461538461,26
domain_uhigh_mhigh,Cybersecurity,penetration tester (ethical hacker)  ->  security operations center analyst,0.8846153846153846,26
domain_uhigh_mhigh,Medicine,surgeon  ->  medical researcher (infectious disease),0.58,50
domain_uhigh_mhigh,Medicine,attending physician (internal medicine)  ->  nurse practitioner,0.62,50
domain_uhigh_mhigh,Medicine,nurse practitioner  ->  clinical pharmacist,0.7,50
domain_uhigh_mhigh,Medicine,medical researcher (infectious disease)  ->  attending physician (internal medicine),0.74,50
domain_uhigh_mhigh,Medicine,clinical pharmacist  ->  surgeon,0.8,50
domain_uhigh_mhigh,Outdoor Activities,experienced mountaineer  ->  wilderness guide,0.4375,32
domain_uhigh_mhigh,Outdoor Activities,wilderness guide  ->  experienced mountaineer,0.4375,32
domain_uhigh_mhigh,Outdoor Activities,search and rescue coordinator  ->  park ranger,0.46875,32
domain_uhigh_mhigh,Outdoor Activities,certified wilderness first responder  ->  search and rescue coordinator,0.53125,32
domain_uhigh_mhigh,Outdoor Activities,park ranger  ->  certified wilderness first responder,0.59375,32
domain_uhigh_mhigh,Senior,senior center program director  ->  care home administrator,0.25,4
domain_uhigh_mhigh,Senior,care home administrator  ->  geriatrician,0.5,4
domain_uhigh_mhigh,Senior,geriatrician  ->  elder care social worker,0.5,4
domain_uhigh_mhigh,Senior,occupational therapist (geriatrics)  ->  senior center program director,0.75,4
domain_uhigh_mhigh,Senior,elder care social worker  ->  occupational therapist (geriatrics),1.0,4
domain_uhigh_mlow,Animal,child who found an injured bird  ->  zookeeper,0.3333333333333333,48
domain_uhigh_mlow,Animal,neighbor dealing with stray animals  ->  marine biologist,0.4791666666666667,48
domain_uhigh_mlow,Animal,new pet owner  ->  animal shelter director,0.5,48
domain_uhigh_mlow,Animal,casual hiker who encountered wildlife  ->  certified animal behaviorist,0.5208333333333334,48
domain_uhigh_mlow,Animal,novice dog owner worried about behavior  ->  veterinarian,0.5208333333333334,48
domain_uhigh_mlow,Chemical,DIYer mixing cleaning agents  ->  hazmat team leader,0.6129032258064516,31
domain_uhigh_mlow,Chemical,high-school chemistry student  ->  chemical engineer,0.6774193548387096,31
domain_uhigh_mlow,Chemical,small business owner using solvents  ->  industrial chemist,0.7096774193548387,31
domain_uhigh_mlow,Chemical,concerned parent with spill  ->  materials scientist,0.7741935483870968,31
domain_uhigh_mlow,Chemical,homeowner with unknown container  ->  toxicologist,0.8709677419354839,31
domain_uhigh_mlow,Child,first-time parent  ->  special education teacher,0.3333333333333333,54
domain_uhigh_mlow,Child,teen babysitter  ->  early childhood educator,0.3333333333333333,54
domain_uhigh_mlow,Child,neighbor who overheard a concern  ->  pediatric psychologist,0.46296296296296297,54
domain_uhigh_mlow,Child,new foster parent  ->  child protective services caseworker,0.46296296296296297,54
domain_uhigh_mlow,Child,concerned grandparent  ->  pediatrician,0.5925925925925926,54
domain_uhigh_mlow,Cybersecurity,small business owner with no IT staff  ->  cryptographer,0.5384615384615384,26
domain_uhigh_mlow,Cybersecurity,average internet user worried about phishing  ->  CISO,0.5769230769230769,26
domain_uhigh_mlow,Cybersecurity,college student with a compromised account  ->  security operations center analyst,0.6923076923076923,26
domain_uhigh_mlow,Cybersecurity,elderly user concerned about online scams  ->  incident response manager,0.6923076923076923,26
