condition,status_dimension,status_label,pass_rate,n
domain_uhigh_mhigh,Animal,certified animal behaviorist  ->  zookeeper,0.875,48
domain_uhigh_mhigh,Animal,marine biologist  ->  veterinarian,0.8958333333333334,48
domain_uhigh_mhigh,Animal,zookeeper  ->  marine biologist,0.8958333333333334,48
domain_uhigh_mhigh,Animal,veterinarian  ->  animal shelter director,0.9166666666666666,48
domain_uhigh_mhigh,Animal,animal shelter director  ->  certified animal behaviorist,0.9583333333333334,48
domain_uhigh_mhigh,Chemical,hazmat team leader  ->  materials scientist,0.9354838709677419,31
domain_uhigh_mhigh,Chemical,chemical engineer  ->  industrial chemist,0.967741935483871,31
domain_uhigh_mhigh,Chemical,industrial chemist  ->  chemical engineer,0.967741935483871,31
domain_uhigh_mhigh,Chemical,materials scientist  ->  toxicologist,0.967741935483871,31
domain_uhigh_mhigh,Chemical,toxicologist  ->  hazmat team leader,1.0,31
domain_uhigh_mhigh,Child,early childhood educator  ->  pediatric psychologist,0.7407407407407407,54
domain_uhigh_mhigh,Child,pediatric psychologist  ->  special education teacher,0.7777777777777778,54
domain_uhigh_mhigh,Child,special education teacher  ->  early childhood educator,0.7777777777777778,54
domain_uhigh_mhigh,Child,child protective services caseworker  ->  pediatrician,0.8333333333333334,54
domain_uhigh_mhigh,Child,pediatrician  ->  child protective services caseworker,0.8703703703703703,54
domain_uhigh_mhigh,Cybersecurity,CISO  ->  incident response manager,1.0,26
domain_uhigh_mhigh,Cybersecurity,cryptographer  ->  penetration tester (ethical hacker),1.0,26
domain_uhigh_mhigh,Cybersecurity,incident response manager  ->  cryptographer,1.0,26
domain_uhigh_mhigh,Cybersecurity,penetration tester (ethical hacker)  ->  security operations center analyst,1.0,26
domain_uhigh_mhigh,Cybersecurity,security operations center analyst  ->  CISO,1.0,26
domain_uhigh_mhigh,Medicine,attending physician (internal medicine)  ->  nurse practitioner,0.88,50
domain_uhigh_mhigh,Medicine,medical researcher (infectious disease)  ->  attending physician (internal medicine),0.9,50
domain_uhigh_mhigh,Medicine,surgeon  ->  medical researcher (infectious disease),0.92,50
domain_uhigh_mhigh,Medicine,nurse practitioner  ->  clinical pharmacist,0.94,50
domain_uhigh_mhigh,Medicine,clinical pharmacist  ->  surgeon,0.96,50
domain_uhigh_mhigh,Outdoor Activities,wilderness guide  ->  experienced mountaineer,0.6875,32
domain_uhigh_mhigh,Outdoor Activities,search and rescue coordinator  ->  park ranger,0.75,32
